Pairs,support,confidence,lift,expected confidence
ПОДГУЗНИКИ + ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА,0.0,0.0,0.0,5.070993914807302e-05
ЖЕНСКИЕ ШТУЧКИ + ТОВАРЫ ДЛЯ ЖИВОТНЫХ,5.070993914807302e-05,0.017241379310344827,0.8095238095238095,0.02129817444219067
"КАНЦТОВАРЫ, КНИГИ, ДИСКИ + ТОВАРЫ ДЛЯ ЖИВОТНЫХ",0.0009634888438133874,0.009318293281020108,0.437516055956468,0.02129817444219067
"ДЕТСКОЕ ПИТАНИЕ + КАНЦТОВАРЫ, КНИГИ, ДИСКИ",0.0030425963488843813,0.011288805268109126,0.10917863653119764,0.10339756592292089
ПОДГУЗНИКИ + ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,0.03717038539553753,0.08785808462183867,0.6043116249538397,0.14538539553752536
ОБУВЬ + СОПУТСТВУЮЩИЕ ТОВАРЫ,5.070993914807302e-05,0.0006101281269066504,0.054442202093208804,0.011206896551724138
"ОБУВЬ + ТЕКСТИЛЬ, ТРИКОТАЖ",0.04127789046653144,0.4966442953020134,2.119416901829843,0.23433062880324543
ОБУВЬ + ПОДГУЗНИКИ,0.008012170385395537,0.09640024405125076,0.22785722314403273,0.4230730223123732
"ЖЕНСКИЕ ШТУЧКИ + КАНЦТОВАРЫ, КНИГИ, ДИСКИ",0.00010141987829614604,0.034482758620689655,0.3334968121628249,0.10339756592292089
ОБУВЬ + ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА,0.0,0.0,0.0,5.070993914807302e-05
ИГРУШКИ + ОБУВЬ,0.018559837728194726,0.05028163209232037,0.6049748534841719,0.08311359026369168
ОБУВЬ + ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,0.0016227180527383367,0.019524100061012812,0.13429203111376792,0.14538539553752536
КОСМЕТИКА/ГИГИЕНА + ОБУВЬ,0.002484787018255578,0.012330145948666332,0.14835294576430755,0.08311359026369168
ДЕТСКОЕ ПИТАНИЕ + КОСМЕТИКА/ГИГИЕНА,0.03519269776876268,0.1305738476011289,0.6479406831138051,0.2015212981744422
ДЕТСКОЕ ПИТАНИЕ + СОПУТСТВУЮЩИЕ ТОВАРЫ,0.0,0.0,0.0,0.011206896551724138
"ДЕТСКОЕ ПИТАНИЕ + ТЕКСТИЛЬ, ТРИКОТАЖ",0.015821501014198783,0.058701787394167454,0.25050838507097645,0.23433062880324543
ДЕТСКОЕ ПИТАНИЕ + ПОДГУЗНИКИ,0.1496450304259635,0.5552210724365004,1.3123528165465408,0.4230730223123732
КРУПНОГАБАРИТНЫЙ ТОВАР + СОПУТСТВУЮЩИЕ ТОВАРЫ,0.00020283975659229209,0.0015020653398422831,0.13403044570900371,0.011206896551724138
ЖЕНСКИЕ ШТУЧКИ + ИГРУШКИ,0.0006592292089249493,0.22413793103448276,0.6072262673444154,0.36911764705882355
"КРУПНОГАБАРИТНЫЙ ТОВАР + ТЕКСТИЛЬ, ТРИКОТАЖ",0.02616632860040568,0.19376642883965453,0.8268933080973788,0.23433062880324543
КРУПНОГАБАРИТНЫЙ ТОВАР + ПОДГУЗНИКИ,0.0186105476673428,0.13781449493052947,0.3257463550317681,0.4230730223123732
ДЕТСКОЕ ПИТАНИЕ + КРУПНОГАБАРИТНЫЙ ТОВАР,0.009026369168356998,0.033490122295390404,0.24800045500003706,0.13504056795131847
ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА + ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,0.0,0.0,0.0,0.14538539553752536
ДЕТСКОЕ ПИТАНИЕ + ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА,0.0,0.0,0.0,5.070993914807302e-05
ИГРУШКИ + ТОВАРЫ ДЛЯ ЖИВОТНЫХ,0.004918864097363083,0.013326006319549388,0.6256877252893189,0.02129817444219067
"ТЕКСТИЛЬ, ТРИКОТАЖ + ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА",0.0,0.0,0.0,5.070993914807302e-05
ЖЕНСКИЕ ШТУЧКИ + КОСМЕТИКА/ГИГИЕНА,0.0011663286004056795,0.39655172413793105,1.9677906391545044,0.2015212981744422
ЖЕНСКИЕ ШТУЧКИ + СОПУТСТВУЮЩИЕ ТОВАРЫ,0.0,0.0,0.0,0.011206896551724138
ДЕТСКОЕ ПИТАНИЕ + ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,0.022616632860040568,0.08391345249294449,0.5771793802444595,0.14538539553752536
КОСМЕТИКА/ГИГИЕНА + ТОВАРЫ ДЛЯ ЖИВОТНЫХ,0.00268762677484787,0.013336688475088072,0.6261892779255638,0.02129817444219067
"КАНЦТОВАРЫ, КНИГИ, ДИСКИ + КОСМЕТИКА/ГИГИЕНА",0.001977687626774848,0.019127023050514957,0.09491315917366758,0.2015212981744422
"КАНЦТОВАРЫ, КНИГИ, ДИСКИ + СОПУТСТВУЮЩИЕ ТОВАРЫ",0.00015212981744421906,0.0014713094654242277,0.1312860753763157,0.011206896551724138
СОПУТСТВУЮЩИЕ ТОВАРЫ + ТОВАРЫ ДЛЯ ЖИВОТНЫХ,0.0,0.0,0.0,0.02129817444219067
"ЖЕНСКИЕ ШТУЧКИ + ТЕКСТИЛЬ, ТРИКОТАЖ",0.00030425963488843813,0.10344827586206896,0.4414628868210344,0.23433062880324543
"КАНЦТОВАРЫ, КНИГИ, ДИСКИ + ТЕКСТИЛЬ, ТРИКОТАЖ",0.007200811359026369,0.06964198136341344,0.2971953846540821,0.23433062880324543
"ТЕКСТИЛЬ, ТРИКОТАЖ + ТОВАРЫ ДЛЯ КОРМЛЕНИЯ",0.017190669371196756,0.07336074442761308,0.5045950052711998,0.14538539553752536
ЖЕНСКИЕ ШТУЧКИ + ПОДГУЗНИКИ,0.00010141987829614604,0.034482758620689655,0.08150545367373847,0.4230730223123732
"КАНЦТОВАРЫ, КНИГИ, ДИСКИ + ПОДГУЗНИКИ",0.008924949290060852,0.08631682197155469,0.20402346029953955,0.4230730223123732
ПОДГУЗНИКИ + ТОВАРЫ ДЛЯ ЖИВОТНЫХ,0.004817444219066937,0.011386791322066403,0.5346369639789273,0.02129817444219067
"ИГРУШКИ + КАНЦТОВАРЫ, КНИГИ, ДИСКИ",0.0720081135902637,0.19508174199752712,1.8867150329530333,0.10339756592292089
ЖЕНСКИЕ ШТУЧКИ + ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,0.00020283975659229209,0.06896551724137931,0.4743634461109173,0.14538539553752536
"КАНЦТОВАРЫ, КНИГИ, ДИСКИ + ТОВАРЫ ДЛЯ КОРМЛЕНИЯ",0.001977687626774848,0.019127023050514957,0.13156082823723578,0.14538539553752536
ОБУВЬ + ТОВАРЫ ДЛЯ ЖИВОТНЫХ,0.0008113590263691683,0.009762050030506406,0.45835149190853886,0.02129817444219067
ТОВАРЫ ДЛЯ ЖИВОТНЫХ + ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,0.0007606490872210953,0.03571428571428571,0.2456524988788679,0.14538539553752536
ИГРУШКИ + КОСМЕТИКА/ГИГИЕНА,0.020588235294117647,0.055776892430278883,0.27677914411804216,0.2015212981744422
КРУПНОГАБАРИТНЫЙ ТОВАР + ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА,0.0,0.0,0.0,5.070993914807302e-05
ИГРУШКИ + ПОДГУЗНИКИ,0.06424949290060852,0.17406237120483584,0.41142394344472766,0.4230730223123732
"КОСМЕТИКА/ГИГИЕНА + ТЕКСТИЛЬ, ТРИКОТАЖ",0.014401622718052738,0.07146451937594363,0.30497301928015763,0.23433062880324543
КРУПНОГАБАРИТНЫЙ ТОВАР + ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,0.014908722109533468,0.1104018024784078,0.7593734024674579,0.14538539553752536
ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА + ТОВАРЫ ДЛЯ ЖИВОТНЫХ,0.0,0.0,0.0,0.02129817444219067
КОСМЕТИКА/ГИГИЕНА + ПОДГУЗНИКИ,0.09599391480730222,0.4763462506290891,1.1259197006359387,0.4230730223123732
ЖЕНСКИЕ ШТУЧКИ + КРУПНОГАБАРИТНЫЙ ТОВАР,5.070993914807302e-05,0.017241379310344827,0.12767555388659405,0.13504056795131847
ЖЕНСКИЕ ШТУЧКИ + ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА,0.0,0.0,0.0,5.070993914807302e-05
"КАНЦТОВАРЫ, КНИГИ, ДИСКИ + КРУПНОГАБАРИТНЫЙ ТОВАР",0.00436105476673428,0.042177538008827856,0.31233235055729824,0.13504056795131847
ДЕТСКОЕ ПИТАНИЕ + ТОВАРЫ ДЛЯ ЖИВОТНЫХ,0.0031947261663286004,0.01185324553151458,0.5565380997177799,0.02129817444219067
"КАНЦТОВАРЫ, КНИГИ, ДИСКИ + ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА",0.0,0.0,0.0,5.070993914807302e-05
"ТЕКСТИЛЬ, ТРИКОТАЖ + ТОВАРЫ ДЛЯ ЖИВОТНЫХ",0.00218052738336714,0.009305345163384549,0.4369081110046269,0.02129817444219067
ДЕТСКОЕ ПИТАНИЕ + ЖЕНСКИЕ ШТУЧКИ,0.0002535496957403651,0.0009407337723424271,0.3198494825964252,0.0029411764705882353
ДЕТСКОЕ ПИТАНИЕ + ОБУВЬ,0.0038032454361054766,0.014111006585136407,0.16977977416649784,0.08311359026369168
КРУПНОГАБАРИТНЫЙ ТОВАР + ОБУВЬ,0.0037525354969574036,0.027788208787082238,0.33434013256940925,0.08311359026369168
ИГРУШКИ + СОПУТСТВУЮЩИЕ ТОВАРЫ,0.009026369168356998,0.024453908503915375,2.182041066503218,0.011206896551724138
"ИГРУШКИ + ТЕКСТИЛЬ, ТРИКОТАЖ",0.07307302231237323,0.19796675367495536,0.8448180875286994,0.23433062880324543
КОСМЕТИКА/ГИГИЕНА + СОПУТСТВУЮЩИЕ ТОВАРЫ,0.00010141987829614604,0.0005032712632108706,0.04490728194804692,0.011206896551724138
ЖЕНСКИЕ ШТУЧКИ + ОБУВЬ,5.070993914807302e-05,0.017241379310344827,0.20744356314826115,0.08311359026369168
