КРУПНОГАБАРИТНЫЙ ТОВАР;ТЕКСТИЛЬ, ТРИКОТАЖ;ОБУВЬ;КАНЦТОВАРЫ, КНИГИ, ДИСКИ;ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;ИГРУШКИ;КОСМЕТИКА/ГИГИЕНА;СОПУТСТВУЮЩИЕ ТОВАРЫ;ЖЕНСКИЕ ШТУЧКИ;ПОДГУЗНИКИ;ДЕТСКОЕ ПИТАНИЕ;ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;ТОВАРЫ ДЛЯ ЖИВОТНЫХ
115;299;72;78;107;263;177;8;11;190;165;0;22
0;0;0;5;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;2;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0
0;0;0;1;0;1;0;1;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;2;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;0;0;3;0;0;0;0;0;0;0
0;0;0;0;0;3;0;0;0;0;0;0;0
0;0;0;0;0;2;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
0;5;0;0;0;5;0;0;0;1;0;0;0
0;3;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;1;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;2;0;0;0;0;0;0;0;0
0;2;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;1;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
0;2;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;8;0;0;0;0;0;0;0
0;0;2;0;0;0;0;0;0;0;0;0;0
