КГТ;ОДЕЖДА;ИГРУШКИт;ППКП;ИНОЕ
115;371;341;647;33
0;0;5;0;0
0;0;1;0;0
0;0;0;1;0
0;0;0;2;0
0;0;0;1;0
0;0;2;1;0
0;0;1;0;0
0;0;1;0;0
0;0;0;1;0
0;0;0;2;0
0;0;1;0;0
0;0;3;0;0
0;0;3;0;0
0;0;2;0;0
1;0;0;0;0
2;0;0;0;0
1;0;0;0;0
0;5;5;1;0
0;3;0;0;0
0;0;1;0;0
0;1;0;0;0
0;0;0;1;0
1;0;0;0;0
1;0;0;0;0
1;0;0;0;0
0;0;0;2;0
0;2;0;0;0
1;0;0;0;0
0;0;1;0;0
1;0;0;0;0
0;0;1;1;0
1;0;0;0;0
1;0;0;0;0
0;2;0;0;0
0;0;1;0;0
1;0;0;0;0
1;0;0;0;0
0;0;8;0;0
0;2;0;0;0
0;0;1;0;0
1;0;0;0;0
0;0;1;0;0
1;0;0;0;0
0;0;1;2;0
2;0;0;0;0
0;0;1;3;0
0;0;1;0;0
2;0;0;0;0
0;2;0;0;0
0;0;3;6;0
0;4;0;4;0
0;0;6;1;0
0;2;0;0;0
0;0;1;0;0
1;0;0;0;0
1;0;0;0;0
2;0;0;0;0
0;0;2;0;0
1;0;0;0;0
0;0;0;1;0
1;0;0;0;0
0;0;0;1;0
2;0;0;0;0
1;0;0;0;0
1;0;0;2;0
1;0;0;0;0
0;0;1;0;0
0;0;3;0;0
0;0;1;0;0
1;0;0;0;0
0;0;0;24;0
0;0;0;3;0
0;1;0;0;0
0;0;0;1;0
0;1;1;0;0
0;0;0;2;0
0;0;0;2;0
0;0;0;2;0
0;8;1;0;0
1;0;0;0;0
0;4;0;5;0
1;1;0;0;0
1;0;0;0;0
0;1;0;0;0
1;0;0;0;0
0;0;6;0;0
0;0;5;0;0
0;0;0;1;0
0;0;64;0;1
1;0;0;0;0
0;0;3;1;0
0;0;0;1;0
0;0;0;1;0
1;0;0;0;0
0;1;2;0;0
1;0;0;2;0
0;0;1;0;0
0;2;0;0;0
1;0;0;0;0
0;3;0;4;0
0;0;0;2;0
0;0;1;0;0
1;0;2;12;0
1;0;0;3;0
0;0;1;0;0
0;0;1;0;0
