Группа2;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;11690518;1913452;0.16367555312775703;824.0534022394487;661;2322;24818;2;10262;186
ТОВАРЫ ДЛЯ ЖИВОТНЫХ;3227860;11249;0.0034849714671640036;12.526726057906458;1041;898;13457;2;1752;6
ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;17325;3520;0.20317460317460317;251.42857142857142;746;14;28;1;22;160
ТЕКСТИЛЬ, ТРИКОТАЖ;37280480;13062980;0.3503973124809552;4063.135303265941;1079;3215;54018;3;16112;811
СОПУТСТВУЮЩИЕ ТОВАРЫ;262572;88964;0.33881754337857806;397.1607142857143;406;224;797;1;572;156
ПОДГУЗНИКИ;60078307;2289959;0.038116237196897045;1319.100806451613;1524;1736;59609;1;22906;100
ОБУВЬ;10457323;3572658;0.3416417375651493;2445.3511293634497;1181;1461;9314;1;5806;615
КРУПНОГАБАРИТНЫЙ ТОВАР;126467157;38724908;0.3062052545389314;9759.301411290322;5493;3968;24693;1;19215;2015
КОСМЕТИКА/ГИГИЕНА;8338755;1374644;0.16485002857141143;1086.6750988142292;287;1265;44562;3;11036;125
КАНЦТОВАРЫ, КНИГИ, ДИСКИ;3252108;723310;0.22241266280209637;324.4997756841633;343;2229;19199;3;5233;138
ИГРУШКИ;53387391;11546493;0.21627752890190868;1732.4070517629407;1093;6665;78441;2;30154;383
ЖЕНСКИЕ ШТУЧКИ;77699;46276;0.5955803806998803;361.53125;143;128;625;2;257;180
ДЕТСКОЕ ПИТАНИЕ;36374985;2236363;0.06148079511235537;1016.5286363636363;951;2200;279644;5;13523;165
