ВремяОкруглДаты;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
11:00:00;27719907;6081948;0.21940722961299977;1623.584623598505;1972;3746;48081;3;8135;748
12:00:00;29689677;6590673;0.2219853385403957;1735.7579668159074;2020;3797;49830;3;8701;757
09:00:00;5445236;1224596;0.22489309921553446;779.5009548058562;1928;1571;8829;3;1843;664
10:00:00;23066076;5098076;0.22102051514960758;1503.4137422589206;1986;3391;37686;3;6926;736
14:00:00;29845138;6695287;0.22433426174809445;1826.3194217130388;2007;3666;49180;3;8848;757
13:00:00;22694661;5019020;0.22115421772548177;1530.6556877096675;1932;3279;39133;3;6852;732
17:00:00;28997792;6542311;0.22561410882594096;1738.1272582359193;1911;3764;51447;3;8878;737
15:00:00;29716204;6625808;0.22296952867869665;1715.641636457794;1912;3862;49398;3;9254;716
16:00:00;29033932;6524323;0.22471372461711353;1699.0424479166666;1952;3840;49137;3;8767;744
18:00:00;30133612;6739470;0.2236529095814999;1833.869387755102;2058;3675;49530;3;8840;762
19:00:00;26176479;5917296;0.22605393185233202;1697.44578313253;2011;3486;43408;3;7735;765
20:00:00;22698523;5032833;0.2217251316308114;1488.12329982259;1867;3382;39575;3;7132;706
21:00:00;20610575;4553505;0.22093051746494216;1370.7119205298013;1751;3322;36493;3;6565;694
22:00:00;19291083;4011388;0.20794001041828497;1253.9506095654892;1630;3199;37805;3;6381;629
23:00:00;17316264;3633261;0.20981783368514131;1178.1001945525293;1548;3084;35346;4;5691;638
02:00:00;11834236;2505042;0.21167754302009864;935.4152352501867;1433;2678;23739;4;4002;626
04:00:00;1667864;370045;0.22186761030875418;419.5521541950113;1414;882;3647;4;637;581
05:00:00;989977;187653;0.18955288860246247;293.2078125;1403;640;2279;3;387;485
06:00:00;1776095;375812;0.21159453745435913;473.31486146095716;1914;794;2854;3;612;614
07:00:00;3225395;710380;0.22024589236357098;615.047619047619;1973;1155;4876;3;1092;651
08:00:00;4751915;983601;0.2069904449048436;645.8312541037426;1812;1523;7041;3;1754;561
00:00:00;5813390;1301077;0.2238069353681759;740.0893060295791;1789;1758;8728;3;1993;653
03:00:00;1174668;228976;0.19492826909390568;285.5062344139651;1273;802;2720;4;484;473
01:00:00;5059;914;0.18066811622850365;91.4;1039;10;54;8;2;457
